state,row,col,Q_up,Q_down,Q_left,Q_right,best_action,best_Q
0,0,0,-51.95,-5.42,-49.91,20.87,right,20.87
1,0,1,-47.41,27.15,-4.89,-2.19,down,27.15
2,0,2,-51.31,-5.11,-5.12,29.09,right,29.09
3,0,3,-46.39,32.37,0.3,-2.26,down,32.37
4,0,4,-50.51,30.91,-4.82,-4.75,down,30.91
5,0,5,-50.2,-51.83,-4.57,33.58,right,33.58
6,0,6,-47.41,2.33,-1.52,40.9,right,40.9
7,0,7,-48.76,44.3,-3.86,0.24,down,44.3
8,0,8,-51.16,47.29,0.83,6.74,down,47.29
9,0,9,-48.08,50.78,-3.38,-3.31,down,50.78
10,0,10,-49.56,46.43,-3.36,-50.6,down,46.43
11,1,0,-5.25,-2.24,-53.22,25.53,right,25.53
12,1,1,-5.01,29.76,-2.87,-1.78,down,29.76
13,1,2,-5.01,-1.33,-4.98,28.62,right,28.62
14,1,3,2.89,35.13,-4.7,-4.62,down,35.13
15,1,4,-2.51,37.76,-4.54,-52.3,down,37.76
16,1,5,0.0,0.0,0.0,0.0,up,0.0
17,1,6,-3.47,0.83,-48.4,44.01,right,44.01
18,1,7,-3.61,3.93,8.62,47.69,right,47.69
19,1,8,4.17,51.25,5.86,8.1,down,51.25
20,1,9,-3.25,55.0,1.83,-3.06,down,55.0
21,1,10,-1.46,51.24,-1.68,-47.22,down,51.24
22,2,0,-3.45,29.16,-52.83,-5.04,down,29.16
23,2,1,7.45,32.38,1.77,-1.54,down,32.38
24,2,2,-4.79,-52.4,-1.33,34.09,right,34.09
25,2,3,4.56,38.03,-1.11,5.95,down,38.03
26,2,4,-4.32,41.08,3.23,-44.18,down,41.08
27,2,5,0.0,0.0,0.0,0.0,up,0.0
28,2,6,3.61,8.09,-41.65,47.69,right,47.69
29,2,7,1.13,12.55,15.89,51.25,right,51.25
30,2,8,27.74,-21.54,27.43,55.0,right,55.0
31,2,9,38.99,58.95,32.35,37.97,down,58.95
32,2,10,2.1,10.77,55.0,-41.01,left,55.0
33,3,0,-2.44,-3.44,-48.77,32.37,right,32.37
34,3,1,4.61,35.13,8.09,-39.88,down,35.13
35,3,2,0.0,0.0,0.0,0.0,up,0.0
36,3,3,3.44,41.09,-37.07,4.52,down,41.09
37,3,4,0.29,44.3,0.46,-49.82,down,44.3
38,3,5,0.0,0.0,0.0,0.0,up,0.0
39,3,6,44.28,-6.57,-52.01,-3.99,up,44.28
40,3,7,47.65,-11.89,-0.87,-43.95,up,47.65
41,3,8,0.0,0.0,0.0,0.0,up,0.0
42,3,9,40.4,63.1,2.46,37.56,down,63.1
43,3,10,2.73,66.97,4.43,-44.26,down,66.97
44,4,0,-4.42,34.41,-52.07,-0.46,down,34.41
45,4,1,-4.21,9.95,4.95,38.03,right,38.03
46,4,2,-30.93,41.09,11.44,25.47,down,41.09
47,4,3,10.98,44.3,5.03,11.54,down,44.3
48,4,4,0.95,47.69,-2.25,-37.81,down,47.69
49,4,5,0.0,0.0,0.0,0.0,up,0.0
50,4,6,39.67,-10.17,-35.29,-9.26,up,39.67
51,4,7,40.22,-4.8,-11.11,-3.51,up,40.22
52,4,8,-17.3,1.0,-11.86,63.02,right,63.02
